,date_occurred,address,comments,disposition,file_origin,code,arrest,homeless,bldg,address_only,bldg_name,location_type,date_reported
0,2019-08-02 15:16:00,M4 / 182 MEMORIAL DR,Report filed regarding an individual who was escorted off of MIT property and issued a verbal trespass warning,OPEN,log_2019_08_02.pdf,,False,False,4,182 MEMORIAL DR,Building 4,Campus Building,2019-08-02 15:55:10
1,2019-08-02 03:20:00,M4 / 182 MEMORIAL DR,Report filed regarding and individual who was escorted off of MIT property and issued a verbal trespass warning,OPEN,log_2019_08_02.pdf,,False,False,4,182 MEMORIAL DR,Building 4,Campus Building,2019-08-02 04:03:37
2,2019-08-02   11:35:00,M24 / 60 VASSAR   ST,Report filed regarding harassing phone calls.,OPEN,log_2019_08_02.pdf,,False,False,24,60 VASSAR   ST,Building 24,Campus Building,2019-08-02 11:35:00
3,2019-08-02   11:35:00,M2 / 182 MEMORIAL DR,Report filed regarding a suspicious person who entered a lab in building 2 and began asking questions to lab staff members while filming them with a laptop.,OPEN,log_2019_08_07.pdf,,False,False,2,182 MEMORIAL DR,Building 2,Campus Building,2019-08-07 14:31:10
4,2019-08-02   11:35:00,M7 / 77 MASSACHUSETTS AVE,Report filed regarding a verbal altercation between a MIT employee and a delivery driver at the Stata Center loading dock.,OPEN,log_2019_08_08.pdf,,False,False,7,77 MASSACHUSETTS AVE,Building 7,Campus Building,2019-08-08 15:23:21
5,2019-08-02   11:35:00,M7 / 77 MASSACHUSETTS AVE,Report filed regarding a suspicious person in the lobby of building 7 on 08/3/19 or 08/04/19.,OPEN,log_2019_08_08.pdf,,False,False,7,77 MASSACHUSETTS AVE,Building 7,Campus Building,2019-08-08 15:57:32
6,2019-08-17 20:57:00,W20 / 84 MASSACHUSETTS AVE,Report filed regarding an individual who was removed from this location and issued a verbal trespass warning.,OPEN,log_2019_08_17.pdf,,False,False,W20,84 MASSACHUSETTS AVE,Student Center,Campus Building,2019-08-17 20:57:03
7,2019-08-17 10:03:00,M26 / 60 VASSAR ST,Report filed regarding an individual who has been using MIT classrooms for private tutoring. Individual is issued a verbal trespass warning.,OPEN,log_2019_08_17.pdf,,False,False,26,60 VASSAR ST,Building 26,Campus Building,2019-08-17 10:03:45
8,2019-08-18   16:56:00,M7 / 77   MASSACHUSETTS   AVE,Report filed regarding a suspicious party. Party is removed   from the area.,OPEN,log_2019_08_18.pdf,,False,False,7,77   MASSACHUSETTS   AVE,Building 7,Campus Building,2019-08-18 16:56:02
9,2019-08-18 20:45:00,NW86 / 70 PACIFIC ST,Officers respond to a report of a suspicious person on the second floor of this location. A check of the area is made with negative results. Report filed.,OPEN,log_2019_08_18.pdf,,False,False,NW86,70 PACIFIC ST,Sidney-Pacific,Graduate Residence,2019-08-18 20:45:37
10,2019-08-18   00:48:00,DKE / 403 MEMORIAL   DR,Report filed regarding a dumpster fire at this location.,OPEN,log_2019_08_18.pdf,,False,False,DKE,403 MEMORIAL   DR,Building DKE,Campus Building,2019-08-18- 01:50:57
11,2019-08-19 09:15:00,W46 / 189 VASSAR ST,Report filed regarding a suspicious person.  Officers speak with and identify individual. The party is then sent on their way.,OPEN,log_2019_08_19.pdf,,False,False,W46,189 VASSAR ST,Building W46,Campus Building,2019-08-19 09:22:35
12,2019-08-19   17:00:00,M76 / 500 MAIN ST,Report filed regarding the larceny of a bicycle.,OPEN,log_2019_08_20.pdf,,False,False,76,500 MAIN ST,Koch Institute,Campus Building,2019-08-20 17:28:23
